nu,seed,Method,L1,Linf,E_SG_T4,E_mean_max_0_4,E_mean_final_T4,E_mean_argmax_time,SG_points,SG_fraction,SG_threshold,final_abs_error_p95,final_abs_error_p99,Time,N_native,N_eval,native_substeps,traditional_substeps,nn_substeps,source_treatment,RefTime,model_path
0.0,1816,FVM (200),0.03381483629345894,0.670939028263092,0.591995120048523,3.299713171145413e-06,3.299713171145413e-06,4.0,2,0.01,12.48965835571289,0.12280552089214325,0.4683833420276642,0.014342546463012695,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.25792837142944336,
0.0,1816,WENO-Z (200),0.005272550042718649,0.27801209688186646,0.14290598034858704,3.414153979974799e-06,3.414153979974799e-06,4.0,2,0.01,12.48965835571289,0.0021510692313313484,0.18192324042320251,0.014810562133789062,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.25792837142944336,
0.0,1816,FVM (400),0.014619661495089531,0.36412519216537476,0.2234732210636139,3.299713171145413e-06,3.299713171145413e-06,4.0,2,0.01,12.48965835571289,0.020312629640102386,0.26941582560539246,0.023909807205200195,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.25792837142944336,
0.0,1816,WENO-Z (400),0.001768216141499579,0.15101486444473267,0.02004341408610344,3.337860107421875e-06,3.337860107421875e-06,4.0,2,0.01,12.48965835571289,8.279085159301758e-05,0.02282942272722721,0.03341078758239746,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.25792837142944336,
0.0,1816,FVM (800),0.006262384820729494,0.23221051692962646,0.0326983742415905,3.681182761283708e-06,3.681182761283708e-06,4.0,2,0.01,12.48965835571289,0.008360885083675385,0.040046192705631256,0.030024290084838867,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.25792837142944336,
0.0,1816,WENO-Z (800),0.0006867849733680487,0.06745296716690063,0.0004354529082775116,3.376007043698337e-06,3.376007043698337e-06,4.0,2,0.01,12.48965835571289,2.0897390641039237e-05,0.0014033843763172626,0.04701423645019531,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.25792837142944336,
0.0,1816,FVM (1000),0.004853039514273405,0.19149315357208252,0.014766305685043335,3.318786639283644e-06,3.318786639283644e-06,4.0,2,0.01,12.48965835571289,0.006682022009044886,0.019024698063731194,0.05036616325378418,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.25792837142944336,
0.0,1816,WENO-Z (1000),0.0005116936517879367,0.05024975538253784,0.00020088627934455872,3.376007043698337e-06,3.376007043698337e-06,4.0,2,0.01,12.48965835571289,1.9574174075387418e-05,0.0008972375653684139,0.06537127494812012,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.25792837142944336,
0.0,1816,FVM (2000),0.002312489552423358,0.09146666526794434,0.003405265510082245,4.730224645754788e-06,4.730224645754788e-06,4.0,2,0.01,12.48965835571289,0.0033550604712218046,0.00528293289244175,0.0660700798034668,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.25792837142944336,
0.0,1816,WENO-Z (2000),0.0002004533016588539,0.016684353351593018,0.0006636418402194977,3.376007043698337e-06,3.376007043698337e-06,4.0,2,0.01,12.48965835571289,5.991161015117541e-05,0.001424014801159501,0.12964892387390137,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.25792837142944336,
0.0,1816,Ours (200),0.0015861713327467442,0.054201193153858185,0.030124936252832413,3.604888888730784e-06,3.604888888730784e-06,4.0,2,0.01,12.48965835571289,0.002886904403567314,0.01058492437005043,0.1895301342010498,200,200,2,0,2,train_py_original_ours_protocol,0.25792837142944336,code/model_fixed.pkl
0.0,1817,FVM (200),0.025331387296319008,0.5665035247802734,0.39337021112442017,1.7452239262638614e-06,1.7356871921947459e-06,3.984,4,0.02,9.569092750549316,0.029512500390410423,0.3243037760257721,0.01287531852722168,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.25223350524902344,
0.0,1817,WENO-Z (200),0.006897847633808851,0.2952460050582886,0.22309789061546326,1.8119811784345075e-06,1.8119811784345075e-06,3.984,4,0.02,9.569092750549316,0.014360396191477776,0.18945235013961792,0.011177778244018555,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.25223350524902344,
0.0,1817,FVM (400),0.011247274465858936,0.32741111516952515,0.17042472958564758,1.7929077102962765e-06,1.7738341284712078e-06,3.984,4,0.02,9.569092750549316,0.015120567753911018,0.13450580835342407,0.018158435821533203,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.25223350524902344,
0.0,1817,WENO-Z (400),0.002196183195337653,0.12332350015640259,0.07476416230201721,1.802444444365392e-06,1.7929077102962765e-06,3.984,4,0.02,9.569092750549316,0.00010137409117305651,0.06906647235155106,0.02451634407043457,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.25223350524902344,
0.0,1817,FVM (800),0.004880170337855816,0.14692580699920654,0.058301299810409546,2.0122527075727703e-06,2.002715973503655e-06,3.984,4,0.02,9.569092750549316,0.007402876392006874,0.04157194495201111,0.027293920516967773,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.25223350524902344,
0.0,1817,WENO-Z (800),0.000507323129568249,0.0369911789894104,0.018672361969947815,1.8596648487800849e-06,1.8596648487800849e-06,3.984,4,0.02,9.569092750549316,1.6462803614558652e-05,0.013036967255175114,0.049096107482910156,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.25223350524902344,
0.0,1817,FVM (1000),0.003794675460085273,0.11038351058959961,0.04305432736873627,1.697540255918284e-06,1.6689300537109375e-06,3.984,4,0.02,9.569092750549316,0.005830724723637104,0.029252273961901665,0.030800819396972656,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.25223350524902344,
