Method,Seed,HCT_0.95,HCT_0.80,HCT_0.95_steps,HCT_0.80_steps
baseline_64x64,0,0.9817477042468103,2.243994752564138,14.0,32.0
baseline_128x128,0,1.7531209004407329,3.0153679487580605,25.0,43.0
baseline_256x256,0,2.5946189326522844,4.417864669110647,37.0,63.0
baseline_512x512,0,4.417864669110647,6.030735897516121,63.0,86.0
baseline_1024x1024,0,6.10086073353375,7.012483601762931,87.0,100.0
baseline_2048x2048,0,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,0,6.311235241586638,7.15273327379819,90.0,102.0
LI,0,6.030735897516121,7.433232617868707,86.0,106.0
baseline_64x64,1,1.4726215563702154,3.5062418008814653,21.0,50.0
baseline_128x128,1,3.2257424568109485,4.698364013181164,46.0,67.00000000000001
baseline_256x256,1,3.9269908169872414,5.750236553445603,56.0,82.0
baseline_512x512,1,5.329487537339828,7.222858109815819,76.0,103.0
baseline_1024x1024,1,7.15273327379819,8.344855486097888,102.0,119.0
baseline_2048x2048,1,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,1,6.2411104055690085,7.082608437780561,89.0,101.0
LI,1,5.609986881410345,6.731984257692414,80.0,96.0
baseline_64x64,2,1.5427463923878448,3.5062418008814653,22.0,50.0
baseline_128x128,2,3.2257424568109485,4.768488849198793,46.0,68.0
baseline_256x256,2,4.628239177163534,7.012483601762931,66.0,100.0
baseline_512x512,2,6.521609749639526,7.924106469992112,93.0,113.0
baseline_1024x1024,2,8.064356142027371,9.256478354327069,115.0,132.0
baseline_2048x2048,2,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,2,7.363107781851077,8.625354830168405,105.0,123.0
LI,2,5.890486225480862,7.573482289903966,84.0,108.0
baseline_64x64,3,1.121997376282069,2.524494096634655,16.0,36.0
baseline_128x128,3,2.3842444245993963,4.698364013181164,34.0,67.00000000000001
baseline_256x256,3,4.838613685216423,6.2411104055690085,69.0,89.0
baseline_512x512,3,6.030735897516121,7.783856797956854,86.0,111.0
baseline_1024x1024,3,7.853981633974483,9.18635351830944,112.0,131.0
baseline_2048x2048,3,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,3,6.872233929727672,8.485105158133146,98.0,121.0
LI,3,6.311235241586638,7.713731961939224,90.0,110.0
baseline_64x64,4,1.0518725402644398,3.5062418008814653,15.000000000000002,50.0
baseline_128x128,4,3.2257424568109485,4.698364013181164,46.0,67.00000000000001
baseline_256x256,4,4.838613685216423,6.451484913621897,69.0,92.0
baseline_512x512,4,5.680111717427974,8.344855486097888,81.0,119.0
baseline_1024x1024,4,9.046103846274182,11.29009859883832,129.0,161.0
baseline_2048x2048,4,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,4,6.170985569551379,8.905854174238922,88.0,127.0
LI,4,7.503357453886336,9.747352206450474,107.0,139.0
baseline_64x64,5,1.7531209004407329,2.8049934407051724,25.0,40.0
baseline_128x128,5,2.664743768669914,4.207490161057759,38.0,60.00000000000001
baseline_256x256,5,4.0672404890225,6.2411104055690085,58.0,89.0
baseline_512x512,5,6.030735897516121,8.344855486097888,86.0,119.0
baseline_1024x1024,5,8.555229994150777,9.536977698397584,122.0,135.99999999999997
baseline_2048x2048,5,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,5,8.625354830168405,9.747352206450474,123.0,139.0
LI,5,7.222858109815819,8.905854174238922,103.0,127.0
baseline_64x64,6,1.6829960644231037,3.716616308934354,24.000000000000004,53.00000000000001
baseline_128x128,6,3.646491472916724,5.890486225480862,52.0,84.0
baseline_256x256,6,5.890486225480862,6.802109093710043,84.0,97.0
baseline_512x512,6,6.872233929727672,8.20460581406263,98.0,117.0
baseline_1024x1024,6,8.344855486097888,9.536977698397584,119.0,135.99999999999997
baseline_2048x2048,6,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,6,7.15273327379819,8.344855486097888,102.0,119.0
LI,6,6.872233929727672,7.924106469992112,98.0,113.0
baseline_64x64,7,1.6829960644231037,3.5062418008814653,24.000000000000004,50.0
baseline_128x128,7,3.2257424568109485,4.698364013181164,46.0,67.00000000000001
baseline_256x256,7,4.417864669110647,7.082608437780561,63.0,101.0
baseline_512x512,7,6.872233929727672,7.713731961939224,98.0,110.0
baseline_1024x1024,7,7.713731961939224,9.466852862379955,110.0,134.99999999999997
baseline_2048x2048,7,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,7,8.064356142027371,9.396728026362329,115.0,134.0
LI,7,7.503357453886336,9.466852862379955,107.0,134.99999999999997
baseline_64x64,8,1.0518725402644398,3.436116964863836,15.000000000000002,49.0
baseline_128x128,8,2.454369260617026,5.189237865304569,35.0,74.0
baseline_256x256,8,4.137365325040129,6.10086073353375,58.99999999999999,87.0
baseline_512x512,8,6.170985569551379,7.994231306009741,88.0,114.0
baseline_1024x1024,8,8.975979010256552,10.799224746714916,128.0,154.00000000000003
baseline_2048x2048,8,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,8,8.064356142027371,9.396728026362329,115.0,134.00000000000003
LI,8,7.082608437780561,8.555229994150777,101.0,122.0
baseline_64x64,9,1.1921222122996982,2.5946189326522844,17.0,37.0
baseline_128x128,9,2.3842444245993963,3.646491472916724,34.0,52.0
baseline_256x256,9,3.365992128846207,5.11911302928694,48.0,73.0
baseline_512x512,9,4.978863357251681,6.030735897516121,71.0,86.0
baseline_1024x1024,9,6.2411104055690085,7.15273327379819,89.0,102.0
baseline_2048x2048,9,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,9,6.381360077604267,7.573482289903966,91.0,108.0
LI,9,5.189237865304569,6.311235241586638,74.0,90.0
baseline_64x64,10,1.5427463923878448,3.155617620793319,22.0,45.0
baseline_128x128,10,3.0153679487580605,3.997115653004871,43.0,57.00000000000001
baseline_256x256,10,4.137365325040129,6.802109093710043,58.99999999999999,97.0
baseline_512x512,10,6.170985569551379,7.363107781851077,88.0,105.0
baseline_1024x1024,10,7.503357453886336,8.905854174238922,107.0,127.0
baseline_2048x2048,10,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,10,8.905854174238922,11.500473106891206,127.0,164.0
LI,10,7.082608437780561,8.20460581406263,101.0,117.0
baseline_64x64,11,1.6128712284054745,2.5946189326522844,23.000000000000004,37.0
baseline_128x128,11,2.524494096634655,4.207490161057759,36.0,60.00000000000001
baseline_256x256,11,3.646491472916724,5.11911302928694,52.0,73.0
baseline_512x512,11,4.558114341145905,6.451484913621897,65.0,92.0
baseline_1024x1024,11,6.731984257692414,7.924106469992112,96.0,113.0
baseline_2048x2048,11,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,11,7.363107781851077,9.817477042468104,105.0,140.0
LI,11,5.680111717427974,7.15273327379819,81.0,102.0
baseline_64x64,12,1.332371884334957,3.2958672928285777,19.0,47.0
baseline_128x128,12,2.03362024451125,4.277614997075388,29.0,61.00000000000001
baseline_256x256,12,4.0672404890225,6.10086073353375,58.0,87.0
baseline_512x512,12,6.10086073353375,8.414980322115518,87.0,120.0
baseline_1024x1024,12,8.414980322115518,10.729099910697284,120.0,153.0
baseline_2048x2048,12,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,12,7.503357453886336,9.817477042468104,107.0,140.0
LI,12,6.591734585657155,8.20460581406263,94.0,117.0
baseline_64x64,13,1.332371884334957,3.786741144951983,19.0,54.0
baseline_128x128,13,3.365992128846207,4.628239177163534,48.0,66.0
baseline_256x256,13,4.558114341145905,7.363107781851077,65.0,105.0
baseline_512x512,13,7.292982945833448,8.20460581406263,104.0,117.0
baseline_1024x1024,13,8.625354830168405,10.23822605857388,123.0,146.0
baseline_2048x2048,13,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,13,6.942358765745301,8.274730650080258,99.0,118.0
LI,13,6.381360077604267,7.433232617868707,91.0,106.0
baseline_64x64,14,0.911622868229181,3.2257424568109485,13.0,46.0
baseline_128x128,14,2.454369260617026,4.207490161057759,35.0,60.00000000000001
baseline_256x256,14,3.576366636899095,6.170985569551379,51.0,88.0
baseline_512x512,14,5.890486225480862,7.292982945833448,84.0,104.0
baseline_1024x1024,14,7.783856797956854,11.430348270873578,111.0,163.0
baseline_2048x2048,14,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,14,8.625354830168405,12.271846303085129,123.0,175.0
