method,stage,mean_l2,mean_linf
Ours,0-4s,0.014760052785277367,0.07418859004974365
Ours,4-8s,0.16186177730560303,0.7318207621574402
LI,0-4s,0.02401895634829998,0.11798842251300812
LI,4-8s,0.2874423861503601,1.2455084323883057
baseline_64x64,0-4s,0.3527834415435791,1.3668386936187744
baseline_64x64,4-8s,1.290318250656128,3.501864433288574
baseline_128x128,0-4s,0.18621331453323364,0.849341869354248
baseline_128x128,4-8s,1.015621304512024,3.1049695014953613
baseline_256x256,0-4s,0.08833663165569305,0.45355719327926636
baseline_256x256,4-8s,0.6529635190963745,2.2934975624084473
baseline_512x512,0-4s,0.03816220909357071,0.20583967864513397
baseline_512x512,4-8s,0.3646566569805145,1.471970796585083
baseline_1024x1024,0-4s,0.01292493473738432,0.07113151997327805
baseline_1024x1024,4-8s,0.14614959061145782,0.6660576462745667
baseline_2048x2048,0-4s,0.0,0.0
baseline_2048x2048,4-8s,0.0,0.0
