Cell-Center Velocity Error Report
Input NetCDF: fno_predictions_30cases_20steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: FNO
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
------------------------------------------------------------
1       1.0059e-03    3.0402e-04    1.1270e-03    5.0159e-04    
2       1.3541e-03    4.5634e-04    1.3673e-03    7.7100e-04    
3       1.6350e-03    5.8155e-04    1.4311e-03    6.2094e-04    
4       1.8460e-03    7.0949e-04    1.5139e-03    7.5081e-04    
5       2.0161e-03    8.5921e-04    1.4965e-03    6.6037e-04    
6       2.1792e-03    9.3678e-04    1.6285e-03    7.7362e-04    
7       2.2436e-03    9.6961e-04    1.6820e-03    7.8491e-04    
8       2.2623e-03    1.0350e-03    1.6884e-03    8.6829e-04    
9       2.3611e-03    1.0882e-03    1.6714e-03    7.7424e-04    
10      2.4656e-03    1.1199e-03    1.7644e-03    9.4125e-04    
11      2.5719e-03    1.1759e-03    1.7971e-03    1.1566e-03    
12      2.7126e-03    1.2679e-03    1.8248e-03    1.1772e-03    
13      2.8181e-03    1.3429e-03    1.8796e-03    9.9894e-04    
14      2.8770e-03    1.4193e-03    1.8254e-03    9.4958e-04    
15      2.9798e-03    1.4794e-03    1.7844e-03    8.9589e-04    
16      3.0604e-03    1.5194e-03    1.8170e-03    8.6842e-04    
17      3.1185e-03    1.5671e-03    1.7925e-03    8.5032e-04    
18      3.2058e-03    1.5789e-03    1.9482e-03    1.1320e-03    
19      3.3010e-03    1.5628e-03    2.0127e-03    1.0622e-03    
20      3.3124e-03    1.5584e-03    1.9980e-03    1.0655e-03    
21      3.3710e-03    1.5368e-03    2.0913e-03    9.9347e-04    
22      3.4505e-03    1.5310e-03    2.1064e-03    8.9996e-04    
23      3.4354e-03    1.5997e-03    1.9939e-03    8.9831e-04    
24      3.4060e-03    1.7136e-03    1.9227e-03    9.3970e-04    
25      3.4880e-03    1.7943e-03    2.0594e-03    9.7169e-04    
26      3.5302e-03    1.8727e-03    2.1327e-03    9.6511e-04    
27      3.5566e-03    1.9298e-03    2.2282e-03    1.0957e-03    
28      3.6080e-03    1.9291e-03    2.1666e-03    9.8145e-04    
29      3.6829e-03    1.9116e-03    2.2166e-03    1.1181e-03    
30      3.7593e-03    1.9258e-03    2.1657e-03    1.0397e-03    
31      3.8516e-03    1.9548e-03    2.2457e-03    1.0649e-03    
32      3.9382e-03    1.9827e-03    2.2599e-03    1.1353e-03    
33      3.9962e-03    2.0225e-03    2.2785e-03    1.2930e-03    
34      3.9976e-03    2.0653e-03    2.2902e-03    1.4400e-03    
35      4.0606e-03    2.0739e-03    2.2661e-03    1.4269e-03    
36      4.1395e-03    2.0151e-03    2.2441e-03    1.1028e-03    
37      4.1930e-03    1.9498e-03    2.2440e-03    1.0767e-03    
38      4.2662e-03    1.9174e-03    2.2662e-03    1.0555e-03    
39      4.2536e-03    1.9092e-03    2.2148e-03    1.0107e-03    
40      4.2540e-03    1.9103e-03    2.1953e-03    1.0180e-03    
41      4.3338e-03    1.9169e-03    2.2785e-03    1.0775e-03    
42      4.3946e-03    1.9419e-03    2.2808e-03    1.1593e-03    
43      4.4247e-03    1.9677e-03    2.2883e-03    1.0528e-03    
44      4.4607e-03    1.9913e-03    2.2160e-03    9.5292e-04    
45      4.4874e-03    2.0300e-03    2.2256e-03    1.0096e-03    
46      4.4594e-03    2.0430e-03    2.1578e-03    9.6429e-04    
47      4.4248e-03    2.0159e-03    2.1543e-03    9.9936e-04    
48      4.3920e-03    1.9718e-03    2.3051e-03    1.0013e-03    
49      4.3628e-03    1.9420e-03    2.3122e-03    1.0320e-03    
50      4.3547e-03    1.9412e-03    2.1899e-03    1.0337e-03    
51      4.3905e-03    1.9664e-03    2.1417e-03    1.0563e-03    
52      4.4270e-03    2.0040e-03    2.1828e-03    1.1173e-03    
53      4.4685e-03    2.0447e-03    2.2430e-03    1.1564e-03    
54      4.5084e-03    2.0581e-03    2.2713e-03    1.1819e-03    
55      4.5135e-03    2.0097e-03    2.2568e-03    1.1487e-03    
56      4.5315e-03    1.9247e-03    2.2409e-03    1.0714e-03    
57      4.5664e-03    1.8440e-03    2.3064e-03    1.0377e-03    
