Cell-Center Velocity Error Report
Input NetCDF: gnot_predictions_30cases_400steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: GNOT
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
------------------------------------------------------------
1       1.1653e-03    3.5342e-04    1.2432e-03    5.4418e-04    
2       1.4745e-03    4.9229e-04    1.4833e-03    7.8431e-04    
3       1.7572e-03    6.3752e-04    1.6500e-03    7.8898e-04    
4       2.0000e-03    7.6060e-04    1.8943e-03    1.0041e-03    
5       2.1742e-03    8.7994e-04    2.0235e-03    1.3169e-03    
6       2.2787e-03    9.3353e-04    2.0531e-03    1.2931e-03    
7       2.3748e-03    1.1484e-03    2.0597e-03    1.4571e-03    
8       2.3831e-03    1.1109e-03    1.9595e-03    1.1961e-03    
9       2.4209e-03    1.0552e-03    1.9699e-03    1.3168e-03    
10      2.4979e-03    1.0134e-03    2.0051e-03    1.2866e-03    
11      2.5689e-03    1.0204e-03    2.0442e-03    1.1301e-03    
12      2.6370e-03    1.0797e-03    2.0273e-03    1.1887e-03    
13      2.6635e-03    1.1169e-03    2.0182e-03    1.3143e-03    
14      2.6574e-03    1.1279e-03    1.9395e-03    1.1535e-03    
15      2.6616e-03    1.1423e-03    1.8764e-03    1.0051e-03    
16      2.7095e-03    1.1666e-03    1.9144e-03    1.0824e-03    
17      2.7619e-03    1.1939e-03    1.9522e-03    1.1033e-03    
18      2.8139e-03    1.2541e-03    1.8907e-03    9.2908e-04    
19      2.8951e-03    1.3046e-03    1.9663e-03    1.0758e-03    
20      2.9417e-03    1.3081e-03    1.9722e-03    9.9393e-04    
21      2.9861e-03    1.2880e-03    2.0190e-03    9.5100e-04    
22      3.0361e-03    1.2859e-03    2.0792e-03    1.0176e-03    
23      3.0542e-03    1.3143e-03    2.0994e-03    9.1535e-04    
24      3.0528e-03    1.3607e-03    2.1157e-03    9.0407e-04    
25      3.0738e-03    1.3915e-03    2.0704e-03    9.5803e-04    
26      3.0902e-03    1.4272e-03    2.1331e-03    9.5976e-04    
27      3.1199e-03    1.4679e-03    2.1790e-03    1.1053e-03    
28      3.1412e-03    1.5102e-03    2.1700e-03    9.8229e-04    
29      3.1966e-03    1.5790e-03    2.0714e-03    9.2343e-04    
30      3.2898e-03    1.6185e-03    2.1226e-03    9.1867e-04    
31      3.3915e-03    1.6622e-03    2.1884e-03    8.7902e-04    
32      3.4918e-03    1.7189e-03    2.3070e-03    9.4591e-04    
33      3.5308e-03    1.7579e-03    2.2787e-03    9.1135e-04    
34      3.5801e-03    1.7830e-03    2.2475e-03    9.8511e-04    
35      3.6007e-03    1.7903e-03    2.1983e-03    9.9707e-04    
36      3.6321e-03    1.7738e-03    2.1689e-03    9.8954e-04    
37      3.6744e-03    1.7864e-03    2.2451e-03    1.0561e-03    
38      3.6799e-03    1.8192e-03    2.2462e-03    1.0299e-03    
39      3.6732e-03    1.8706e-03    2.1945e-03    1.0288e-03    
40      3.6692e-03    1.9352e-03    2.2190e-03    1.0726e-03    
41      3.7007e-03    1.9788e-03    2.2334e-03    1.0187e-03    
42      3.7387e-03    1.9943e-03    2.1830e-03    9.9112e-04    
43      3.7576e-03    1.9435e-03    2.2116e-03    9.2486e-04    
44      3.7508e-03    1.8863e-03    2.1032e-03    8.8077e-04    
45      3.7254e-03    1.8654e-03    2.1339e-03    9.3917e-04    
46      3.6973e-03    1.8686e-03    2.1518e-03    9.8703e-04    
47      3.6854e-03    1.8559e-03    2.1580e-03    8.9323e-04    
48      3.6552e-03    1.8365e-03    2.2301e-03    8.5408e-04    
49      3.6326e-03    1.8214e-03    2.2811e-03    9.5132e-04    
50      3.6466e-03    1.8071e-03    2.2786e-03    9.7365e-04    
51      3.7044e-03    1.8177e-03    2.3598e-03    1.0576e-03    
52      3.7284e-03    1.8357e-03    2.4191e-03    1.1375e-03    
53      3.7239e-03    1.8509e-03    2.3312e-03    1.0803e-03    
54      3.7232e-03    1.8323e-03    2.2996e-03    1.0910e-03    
55      3.7326e-03    1.7434e-03    2.3430e-03    1.0872e-03    
56      3.7500e-03    1.6583e-03    2.4163e-03    1.0885e-03    
57      3.7665e-03    1.6175e-03    2.4082e-03    1.1534e-03    
58      3.7744e-03    1.6266e-03    2.3589e-03    1.1505e-03    
59      3.7787e-03    1.6321e-03    2.3095e-03    1.1442e-03    
60      3.7743e-03    1.6197e-03    2.2758e-03    1.1048e-03    
61      3.7840e-03    1.5819e-03    2.2563e-03    1.0628e-03    
62      3.7802e-03    1.5351e-03    2.2244e-03    1.0241e-03    
63      3.7914e-03    1.4998e-03    2.1494e-03    9.6237e-04    
64      3.7933e-03    1.4608e-03    2.1603e-03    8.5835e-04    
65      3.7535e-03    1.4346e-03    2.1309e-03    8.9905e-04    
66      3.7300e-03    1.4292e-03    2.1670e-03    9.8808e-04    
67      3.7196e-03    1.3930e-03    2.2192e-03    1.0238e-03    
68      3.6702e-03    1.3439e-03    2.2323e-03    9.7690e-04    
69      3.6325e-03    1.3235e-03    2.0943e-03    9.4344e-04    
70      3.6457e-03    1.3497e-03    2.0858e-03    8.9001e-04    
71      3.6616e-03    1.4138e-03    2.1337e-03    8.8759e-04    
72      3.6604e-03    1.4829e-03    2.1125e-03    8.5379e-04    
73      3.6423e-03    1.5246e-03    2.1004e-03    9.1798e-04    
74      3.6315e-03    1.5376e-03    2.1773e-03    1.0052e-03    
75      3.5925e-03    1.5630e-03    2.2319e-03    9.6963e-04    
76      3.5688e-03    1.6043e-03    2.1695e-03    9.3190e-04    
77      3.5963e-03    1.6513e-03    2.2294e-03    9.7693e-04    
78      3.6347e-03    1.6932e-03    2.1671e-03    9.7808e-04    
79      3.6716e-03    1.7164e-03    2.1884e-03    9.8525e-04    
80      3.7060e-03    1.7272e-03    2.2182e-03    9.8813e-04    
81      3.7366e-03    1.7472e-03    2.2564e-03    1.0138e-03    
82      3.7454e-03    1.7865e-03    2.2378e-03    1.0603e-03    
83      3.7518e-03    1.7990e-03    2.1881e-03    1.0984e-03    
84      3.7482e-03    1.8065e-03    2.2520e-03    1.1303e-03    
85      3.7523e-03    1.8234e-03    2.2343e-03    1.0933e-03    
86      3.7796e-03    1.8567e-03    2.1642e-03    1.1486e-03    
87      3.7906e-03    1.8776e-03    2.1590e-03    1.1500e-03    
88      3.8130e-03    1.8750e-03    2.2261e-03    1.1621e-03    
89      3.8192e-03    1.8516e-03    2.2145e-03    1.2256e-03    
90      3.8120e-03    1.8437e-03    2.2280e-03    1.2212e-03    
91      3.8034e-03    1.8740e-03    2.2433e-03    1.2962e-03    
92      3.8012e-03    1.9279e-03    2.1936e-03    1.3072e-03    
93      3.8384e-03    1.9858e-03    2.2953e-03    1.2862e-03    
94      3.8683e-03    2.0448e-03    2.3111e-03    1.3197e-03    
95      3.8878e-03    2.1041e-03    2.3178e-03    1.2402e-03    
96      3.9368e-03    2.1547e-03    2.3109e-03    1.1802e-03    
97      3.9761e-03    2.2167e-03    2.2375e-03    1.2303e-03    
98      4.0192e-03    2.2733e-03    2.2863e-03    1.1905e-03    
99      4.0576e-03    2.3390e-03    2.2102e-03    1.1897e-03    
