time_rel,quantity,method,loss_mean,loss_std,loss_median,loss_p95,n_traj
0.1,KineticEnergyAbsLoss,GNOT,3.915342191855113e-06,3.524582279042308e-06,3.458932042121887e-06,1.120716333389281e-05,30
0.2,KineticEnergyAbsLoss,GNOT,7.047116135557493e-06,6.4931208160685985e-06,4.911795258522034e-06,2.1278718486428246e-05,30
0.30000000000000004,KineticEnergyAbsLoss,GNOT,9.342096745967865e-06,9.542922885178454e-06,6.974674761295319e-06,3.196024335920809e-05,30
0.4,KineticEnergyAbsLoss,GNOT,1.2251812343796094e-05,1.081982978047464e-05,1.0007992386817932e-05,3.391019999980924e-05,30
0.5,KineticEnergyAbsLoss,GNOT,1.3337206716338794e-05,1.2743396525467188e-05,8.756760507822037e-06,3.548385575413703e-05,30
0.6000000000000001,KineticEnergyAbsLoss,GNOT,1.3965507969260216e-05,1.4512205073676905e-05,7.645227015018463e-06,4.363078624010084e-05,30
0.7000000000000001,KineticEnergyAbsLoss,GNOT,1.4733429998159408e-05,1.6822691865297264e-05,8.418690413236618e-06,5.0529092550277646e-05,30
0.8,KineticEnergyAbsLoss,GNOT,1.6669432322184246e-05,1.7763926570234824e-05,1.0143965482711792e-05,5.485685542225828e-05,30
0.9,KineticEnergyAbsLoss,GNOT,1.8602252627412478e-05,1.951893764638069e-05,1.234002411365509e-05,5.4582953453063884e-05,30
1.0,KineticEnergyAbsLoss,GNOT,1.9652163609862326e-05,1.976177168415754e-05,1.3442710041999817e-05,5.2612833678722326e-05,30
1.1,KineticEnergyAbsLoss,GNOT,1.9392728184660275e-05,2.0449130565490806e-05,1.2776348739862442e-05,5.922783166170113e-05,30
1.2000000000000002,KineticEnergyAbsLoss,GNOT,1.8927718823154768e-05,2.1523904120019846e-05,1.1103227734565735e-05,5.865842103958123e-05,30
1.3,KineticEnergyAbsLoss,GNOT,1.9328234096368153e-05,2.1622234566836075e-05,1.1672265827655792e-05,6.461199373006812e-05,30
1.4000000000000001,KineticEnergyAbsLoss,GNOT,2.0125648006796837e-05,2.3805861241928546e-05,1.0814052075147629e-05,7.353750988841046e-05,30
1.5,KineticEnergyAbsLoss,GNOT,2.176055374244849e-05,2.4715237366801e-05,1.2113247066736221e-05,7.902802899479858e-05,30
1.6,KineticEnergyAbsLoss,GNOT,2.1954470624526343e-05,2.6376212434852064e-05,1.1511147022247314e-05,8.527506142854685e-05,30
1.7000000000000002,KineticEnergyAbsLoss,GNOT,2.2107393791278205e-05,2.7685182510230077e-05,1.0481104254722595e-05,9.042732417583461e-05,30
1.8,KineticEnergyAbsLoss,GNOT,2.286044570306937e-05,2.9001065584470952e-05,1.3807788491249084e-05,9.357193484902377e-05,30
1.9000000000000001,KineticEnergyAbsLoss,GNOT,2.3409817367792128e-05,2.9134935339628702e-05,1.1571217328310013e-05,9.145615622401234e-05,30
2.0,KineticEnergyAbsLoss,GNOT,2.401202606658141e-05,2.8993025032778715e-05,1.293933019042015e-05,9.091868996620175e-05,30
